Set,Profile,expressivity,class_count,indiv_count,obj_property_count,dataproperty_count,datatypes_count,Cyclic Cls,HC_Cohesion,HC_MAX_DEPTH,HC_Max_Sibling,HC_Avg_Sibling,C_Tangledness,C_MaxTangledness,HP_Cohesion,P_Tangledness,P_MaxTangledness,HP_MAX_DEPTH,HP_Max_Sibling,HP_Avg_Sibling,OP_Cohesion,Onto_Cohesion,RRichness,AttRichness,UI,EUR,Axioms_count,AxiomsLogical_count,Tbox_size,Abox_size,Rbox_size,Tbox_ratio,Abox_ratio,Rbox_ratio,GCI,PCD,NPCD,GCI_Ratio,PCD_Ratio,NPCD_Ratio,MaxNesting,AvgNesting,ClsDisjoinedRatio,ClsWithNominalsRatio,IndivSameRatio,IndivDiffRatio,NominalsTBoxRatio,MaxACC,OntoCCDensity,Intersection,Union,Existentiel,Universal,LeastCardinality,MostCardinality,ExactCardinality,avgValuesCard,LogestMCard,LogestLCard,LogestECard,Complement,OneOf,HasValue,HasSelf,InversePropRatio,TransitivePropRatio,ReflexivePropRatio,IrreflexivePropRatio,SymmetricPropRatio,AsymmetricPropRatio,FunctionalPropRatio,InverseFuncPropRatio,HierarchyPropRatio,SubClassOf,InverseObjectProperties,SubObjectPropertyOf,FunctionalObjectProperty,TransitiveObjectProperty,EquivalentClasses,DisjointClasses,SubPropertyChainOf,ObjectPropertyRange,ObjectPropertyDomain,DisjointUnion,ClassAssertion,DataPropertyRange,DataPropertyDomain,ObjectPropertyAssertion,DataPropertyAssertion,DifferentIndividuals,SymmetricObjectProperty,ReflexiveObjectProperty,InverseFunctionalObjectProperty,EquivalentDataProperties,SameIndividual,EquivalentObjectProperties,SubDataPropertyOf,FunctionalDataProperty,IrrefexiveObjectProperty,AsymmetricObjectProperty,DisjointObjectProperties
Test,EL,AL(D),32,56,0,5,2,0,0.141,3,7,3.25,0,1,0,0,1,0,0,0,0,0.141,0,0.156,0,0,185,148,26,122,0,17.568,82.432,0,0,26,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.568,0,0,0,0,0,0,0,0,0,0,37.162,0,0,0,45.27,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,ALUHIF(D),32,28,30,2,2,0.546,0.141,3,9,4.833,0,1,0.009,0,1,2,1,1,0.004,0.051,0.482,0.062,0,0,205,141,29,34,78,20.567,24.113,55.319,0,29,0,0,100,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.567,4.255,1.418,7.092,0,0,0,0,19.149,20.567,0,19.858,1.418,1.418,2.837,1.418,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHI,41173,0,29,0,0,0,0,12,16740,2.885,0.01,5,0.052,0,1,3,3,1.5,0,0.026,0,0,0,0,129483,88281,88258,0,23,99.974,0,0.026,219,87770,0,0.248,99.447,0,7,2.44,0.017,0,0,0,0,3,0.145671403,0.568,0,99.432,0,0,0,0,0,0,0,0,0,0,0,0,0,46.896,0,0,0,0,0,0,47.151,99.72,0,0.01,0,0.01,0.248,0.006,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0
Test,DL,SHOIN(D),6611,6386,679,60,5,0.104,0.188,20,259,3.615,0.076,7,0.003,0.295,3,6,18,2.048,0,0.064,0.106,0.009,0,0,31237,23888,11929,10277,1682,49.937,43.022,7.041,11,11790,15,0.092,98.835,0.126,11,2.086,1.664,10.225,0,0,0,2,0.064632408,1.362,6.226,41.958,6.55,0.065,0,0,30.84,0,2,0,0,0,0,43.839,62.483,7.877,0,0,0.534,0,1.068,0,73.698,49.422,0.498,1.063,0.054,0.105,0.105,0.41,0,2.294,2.47,0,29.128,0.251,0.213,11.336,2.558,0,0.08,0,0,0,0,0,0,0.013,0,0,0
Test,EL,ALEH+,1072,0,7,0,0,0,0.019,16,34,2.451,0,1,0.286,0,1,2,3,3,0,0.152,0,0,0,0,3569,2490,2486,0,4,99.839,0,0.161,0,2486,0,0,100,0,3,2.569,0,0,0,0,0,1,0.56918745,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.424,99.839,0,0.12,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,ALE+,44857,0,9,0,0,0,0.005,23,2653,7.892,0.011,10,0,0,1,0,0,0,0,0.005,0,0,0,0,162912,118046,118044,0,2,99.998,0,0.002,0,118044,0,0,100,0,3,2.408,0,0,0,0,0,1,0.407678493,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6.957,0,0,0,0,0,0,0,99.998,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,ALCRIQ(D),61,0,38,28,3,0.087,0.045,3,11,4.375,0,1,0,0,1,0,0,0,0.001,0.023,0.396,0.459,0,0,449,322,159,0,163,49.379,0,50.621,2,113,2,1.258,71.069,1.258,24,2.308,77.049,0,0,0,0,1,0.169811321,0,0,25.926,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70.37,0,0,36.335,0.311,0,5.901,0,0.621,12.422,3.106,11.801,11.801,0,0,8.696,8.696,0,0,0,0,0,0,0,0,0,0,0.311,0,0,0
Test,DL,ALF(D),39,79,22,13,4,0,0.054,2,4,2.222,2.564,2,0,0,1,0,0,0,0.003,0.028,0.524,0.333,0,0,264,190,20,98,72,10.526,51.579,37.895,0,20,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.526,0,0,0,0,0,0,0,11.579,10.526,0,51.579,6.842,6.316,0,0,0,0,0,0,0,0,0,0,2.632,0,0,0
Test,DL,ALCON(D),175,23,82,42,10,24.561,0.038,6,11,2.525,1.149,3,0,0,1,0,0,0,0,0.019,0.256,0.24,0,0,1047,749,436,23,290,58.211,3.071,38.718,0,392,0,0,89.908,0,3,2.36,16.571,8.571,0,0,100,1,0.394495413,0,0,0,5.814,41.86,15.698,27.907,1.299,2,4,3,0,3.488,0,5.233,0,0,0,0,0,0,66.242,0,0,52.336,0,0,6.542,0,0,5.874,0,10.547,8.278,0,3.071,5.073,4.406,0,0,0,0,0,0,0,0,0,0,3.872,0,0,0
Test,DL,ALEHI+,51425,0,5,0,0,0,0,2,22524,4.148,0.008,5,0.2,0,1,2,1,1,0,0.1,0,0,0,0,180013,128583,128579,0,4,99.997,0,0.003,0,128579,0,0,100,0,3,2.468,0,0,0,0,0,1,0.468241315,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,47.867,0,0,0,0,0,0,47.867,99.997,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Test,DL,AL(D),92,0,64,4,3,0,0.085,5,11,3.296,1.087,2,0,0,1,0,0,0,0,0.043,0.418,0.043,0,0,317,157,89,0,68,56.688,0,43.312,0,89,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.688,0,0,0,0,0,0,0,40.764,0,0,0,2.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHIN(D),65,0,112,47,4,18.063,0.047,3,8,3.636,0,1,0.009,0,1,2,10,3.111,0.001,0.019,0.515,0.723,0,0,839,616,228,0,388,37.013,0,62.987,1,160,1,0.439,70.175,0.439,3,2.219,43.077,0,0,0,0,1,0.219298246,0,0,14,2,62,0,22,0.405,0,2,1,0,0,0,0,86,8,0,0,0,0,4,0,20,26.461,8.442,4.545,0.325,0.325,0.325,10.227,0,18.182,18.182,0,0,3.896,5.682,0,0,0,0.487,0,0.325,0,0,0,2.435,0.162,0,0,0
Test,EL,ALE,1579,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2531,941,941,0,0,100,0,0,0,0,941,0,0,100,10,6.409,0,0,0,0,0,4,0.676673751,36.945,0,63.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHOIN(D),3022,1152,501,32,6,0.333,0.003,11,53,3.877,0.066,3,0.007,0.2,2,5,35,5.016,0,0.003,0.108,0.011,0,0,9998,6444,3906,1896,642,60.615,29.423,9.963,249,3211,288,6.375,82.207,7.373,4,2.109,3.342,7.214,0.174,0.174,0,1,0.165642601,0,0.309,14.065,48.686,0.773,0,1.546,6.901,0,1,2,0,0,0,34.621,3.088,2.375,0,0,0.238,0,0,0,62.708,55.152,0.186,4.826,0,0.124,4.578,0.885,0,2.561,0.993,0,19.088,0.279,0.202,3.135,2.793,1.179,0.047,0,0,0.062,3.228,0.683,0,0,0,0,0
Test,DL,ALE+,9161,0,2,0,0,0,0.001,13,468,5.505,0.022,4,0,0,1,0,0,0,0,0.001,0,0,0,0,158179,149016,9567,139447,2,6.42,93.579,0.001,0,9567,0,0,100,0,3,2.651,0,0,0,0,0,1,0.651301348,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,6.42,0,0,0,0.001,0,0,0,0,0,0,93.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHIF(D),87,0,7,3,1,0,0.149,6,18,3.421,4.598,5,0.381,0,1,2,2,1.333,0,0.177,0.61,0.034,0,0,473,376,349,0,27,92.819,0,7.181,0,134,4,0,38.395,1.146,6,2.046,41.379,0,0,0,0,2,0.011461318,87.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.638,0.532,1.064,0,0.266,1.064,56.117,0,1.33,1.596,0,0,0.798,0.798,0,0,0,0,0,0,0,0,0,0,0.798,0,0,0
Test,EL,ALE,179,0,2,0,0,0,0.011,4,16,2.63,0.559,2,0,0,1,0,0,0,0,0.011,0,0,0,0,398,217,217,0,0,100,0,0,0,217,0,0,100,0,3,2.673,0,0,0,0,0,1,0.67281106,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHI,112812,0,95,0,0,0,0,12,22062,5.476,0.003,4,0.034,1.053,2,4,7,2.462,0,0.017,0,0,0,0,361057,248150,248060,0,90,99.964,0,0.036,219,247298,274,0.088,99.693,0.11,7,2.654,0.006,0,0,0,0,3,0.217167889,0.305,0,99.695,0,0,0,0,0,0,0,0,0,0,0,0,0,24.956,0,0,0,0,0,0,37.215,99.763,0,0.026,0,0.008,0.199,0.002,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
Test,DL,SHOIF(D),93,289,98,40,3,4.711,0.078,8,11,2.5,1.087,2,0.052,0,1,6,39,3.714,0,0.043,0.442,0.43,0,0,2079,1849,109,1369,371,5.895,74.04,20.065,15,78,0,13.761,71.56,0,8,2.275,8.602,7.527,0.692,0.692,7.266,2,0.096330275,47.619,0,19.048,0,0,0,0,0,0,0,0,0,23.81,0,9.524,100,0,0,0,0,0,0,0,100,5.03,1.406,4.218,1.028,0.054,0.811,0.054,0,4.381,3.569,0,14.981,1.514,1.731,15.846,40.022,3.137,0.487,0,0.108,0,0.054,0.108,0.595,0.865,0,0,0
Test,EL,ALE,3710,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14066,10355,10355,0,0,100,0,0,0,10355,0,0,100,0,3,3,0,0,0,0,0,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,ALC,267,0,0,0,0,0,0.049,9,14,3.033,0.375,2,0,0,1,0,0,0,0,0.049,0.007,0,0,0,546,279,279,0,0,100,0,0,2,274,0,0.717,98.208,0,4,2.007,2.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.925,0,0,0,0,0.358,0.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,ALERI+,14870,0,10,0,0,0,0,0,0,0,0,1,0.056,0,1,2,1,1,0,0.056,0,0,0,0,29756,14877,14869,0,8,99.946,0,0.054,0,14869,0,0,100,0,3,3,0,0,0,0,0,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.946,0.007,0.02,0,0.013,0,0,0.007,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0
Test,DL,SHOIN(D),61321,4912,322,4,3,0.026,0,21,397,4.394,0.003,3,0.022,0.311,3,6,26,3.27,0,0.007,0.007,0,0,2.266,130226,68580,62315,5112,1153,90.865,7.454,1.681,10,62147,49,0.016,99.73,0.079,15,2.007,0.106,0.005,0,0,0.061,13,0.000475253,20.627,4.7,44.648,22.977,2.611,0,0.522,7.341,0,3,2,3.133,0.783,0,0,98.524,14.76,0,0,0.369,0,0,0,98.524,90.64,0.242,0.477,0,0.02,0.086,0.139,0,0.459,0.459,0,7.419,0.006,0.006,0.035,0,0,0.012,0,0,0,0,0,0,0,0,0,0
Test,EL,AL,35316,0,0,0,0,0,0,2,55,1.366,0,1,0,0,1,0,0,0,0,0,0,0,0,0,55705,20389,20389,0,0,100,0,0,0,20389,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,ALUHIN(D),99,14,40,51,2,3.454,0.064,5,21,3.121,1.02,2,0.054,0,1,3,6,1.818,0,0.039,0.152,0.515,0,0,536,347,134,30,183,38.617,8.646,52.738,11,108,5,8.209,80.597,3.731,4,2.179,0,0,0,0,0,2,0.089552239,0,4.167,0,54.167,37.5,4.167,0,0.24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.348,36.311,0.576,5.764,0,0,2.305,0,0,6.916,8.646,0,8.069,10.375,10.086,0,0.576,0,0,0,0,2.882,0,0,7.493,0,0,0,0
Test,EL,ALH,160,21,184,0,0,0,0,0,0,0,0,1,0.019,0,1,2,51,6.625,0,0.01,1,0,0,0,836,492,0,15,477,0,3.049,96.951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.317,0,0,0,0,0,32.317,32.317,0,0,0,0,3.049,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHOIN(D),2994,1152,501,32,6,0.336,0.003,11,53,3.904,0.067,3,0.007,0.2,2,5,35,5.016,0,0.003,0.109,0.011,0,0,9968,6442,3869,1932,641,60.059,29.991,9.95,248,3176,287,6.41,82.088,7.418,4,2.109,3.373,7.214,0.174,0.174,0,1,0.165675885,0,0.312,14.197,48.518,0.78,0,1.56,6.837,0,1,2,0,0,0,34.633,3.118,2.398,0,0,0.24,0,0,0,62.35,54.61,0.186,4.828,0,0.124,4.564,0.885,0,2.561,0.993,0,19.093,0.279,0.186,3.695,2.794,1.18,0.047,0,0,0.062,3.229,0.683,0,0,0,0,0
Test,DL,S,1783,7,8,0,0,0,0.01,14,76,2.958,0.168,4,0,0,1,0,0,0,0,0.01,0.001,0,0,0,12956,11165,2114,9048,3,18.934,81.039,0.027,88,1915,0,4.163,90.587,0,5,2.19,0.224,0,0,0,0,2,0.074030274,28.115,0,71.885,0,0,0,0,0,0,0,0,0,0,0,0,0,75.556,0,0,0,0,0,0,0,18.128,0,0,0,0.027,0.788,0.018,0,0,0,0,81.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SROIF,99645,18,118,0,0,0,0,12,26043,65.491,0.002,3,0.022,0.855,2,4,7,2.286,0,0.007,0,0,0,0,290553,190791,190573,2,216,99.886,0.001,0.113,33551,34335,35763,17.605,18.017,18.766,7,2.586,0.007,0.004,0,44.444,100,3,0.194934924,0.197,0,99.796,0.004,0,0,0,0,0,0,0,0,0.004,0,0,70.442,68.525,0,0,0,0,0,0,99.768,76.126,0.012,0.039,0.001,0.012,23.757,0.003,0.017,0.012,0.017,0,0,0,0,0,0,0.001,0.003,0,0,0,0,0,0,0,0,0,0
Test,EL,ALE,237,0,1,0,0,0,0.045,8,20,4.872,0,1,0,0,1,0,0,0,0,0.045,0,0,0,0,475,237,237,0,0,100,0,0,0,237,0,0,100,0,3,2.034,0,0,0,0,0,1,0.033755274,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,ALE,6785,0,6,0,0,0,0.001,9,1025,8.608,0.059,6,0,0,1,0,0,0,0,0.001,0,0,0,0,19138,12347,12347,0,0,100,0,0,0,12347,0,0,100,0,3,2.568,0,0,0,0,0,1,0.567749251,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,AL,29707,0,0,0,0,0,0,2,27416,3712.375,0,1,0,0,1,0,0,0,0,0,0,0,0,0,59406,29699,29699,0,0,100,0,0,0,29699,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,AL,10809,0,0,0,0,32.763,0,4,3,1.155,0.009,2,0,0,1,0,0,0,0,0,0,0,0,0,21617,10809,10809,0,0,100,0,0,0,10809,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,S,1555,0,12,0,0,0,0.009,11,61,3.375,0.064,2,0,0,1,0,0,0,0,0.009,0.013,0,0,0,4260,2693,2690,0,3,99.889,0,0.111,76,2445,0,2.825,90.892,0,5,2.447,2.251,0,0,0,0,2,0.209479554,6.744,0,93.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.73,0,0,0,0.111,2.822,1.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHI(D),61,98,68,56,8,0.538,0.049,3,16,3.417,1.667,2,0.018,0,1,3,6,3.8,0.001,0.023,0.803,0.918,0,0,806,622,176,155,291,28.296,24.92,46.785,4,35,7,2.273,19.886,3.977,29,2.011,40.984,0,0,0,0,1,0.005681818,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.592,0.965,3.055,0,1.125,0.965,20.74,0,9.968,9.968,0,19.614,8.199,8.521,3.055,2.251,0,0.322,0,0,0.322,0,0.322,4.019,0,0,0,0
Test,EL,ALH,112,11,134,0,0,0,0,0,0,0,0,1,0.025,0,1,2,35,5.045,0,0.013,1,0,0,0,586,340,0,7,333,0,2.059,97.941,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.647,0,0,0,0,0,32.647,32.647,0,0,0,0,2.059,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,ALE+,777,772,1,0,0,0.676,0.011,7,50,4.661,0.387,6,0,0,1,0,0,0,0,0.011,0,0,0,0,5336,4559,871,3687,1,19.105,80.873,0.022,0,871,0,0,100,0,3,2.018,0,0,0,0,0,1,0.01836969,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,19.105,0,0,0,0.022,0,0,0,0,0,0,80.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHIN(D),77,0,112,5,0,4.491,0.135,6,11,2.7,1.316,2,0.048,0.893,2,4,57,3.645,0.001,0.061,0.456,0.065,0.072,0,797,604,188,0,416,31.126,0,68.874,9,135,1,4.787,71.809,0.532,9,2.516,23.377,0,0,0,0,5,0.1,6.383,7.447,41.489,29.787,11.702,0,3.191,2.081,0,8,3,0,0,0,0,100,14.815,0,0,1.235,0,0,0,100,25.166,9.768,18.709,0,1.159,1.656,4.305,0,18.212,18.212,0,0,0,0.828,0,0,0,1.325,0,0,0,0,0,0.662,0,0,0,0
Test,DL,SRIQ(D),135,30,69,7,2,0.588,0.032,4,15,3.571,0,1,0.083,0,1,5,17,2.783,0,0.038,0.081,0.052,0,0,572,362,132,102,128,36.464,28.177,35.359,20,83,2,15.152,62.879,1.515,7,2.492,5.926,0,0,0,0,3,0.106060606,50,2.381,40.476,0,0,2.381,0,1.26,1,0,1,0,0,0,0,95,10,0,0,0,0,0,0,95,28.453,9.392,17.68,0,3.867,6.077,1.934,0.276,1.105,0.829,0,10.221,0,0,12.707,5.249,0,1.381,0,0,0,0,0,0,0.829,0,0,0
Test,EL,ALH(D),11,53,12,15,4,0,0.218,3,2,1.667,0,1,0.273,0,1,2,9,9,0.02,0.17,0.286,1.364,0,0,163,125,5,71,49,4,56.8,39.2,0,5,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7.2,0,0,0,0,0,1.6,8.8,0,39.2,3.2,10.4,17.6,0,0,0,0,0,0,0,0,8,0,0,0,0
Test,DL,SRI,29008,37,36,0,0,0.003,0.004,17,708,3.685,0.017,8,0.044,2.778,2,2,4,2.333,0,0.024,0.001,0,0,0,240814,211771,58231,153490,50,27.497,72.479,0.024,2,58189,0,0.003,99.928,0,5,2.229,0.169,0,0,0,0,2,0.114535213,0.015,0.06,99.925,0,0,0,0,0,0,0,0,0,0,0,0,1.238,51.264,0,0,0,0,0,0,46.478,27.48,0.005,0.007,0,0.008,0.001,0.017,0.004,0,0,0,72.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,AL,25159,0,0,0,0,0,0,2,239,3.55,0.004,2,0,0,1,0,0,0,0,0,0,0,0,0,44839,19680,19680,0,0,100,0,0,0,19680,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,ALEH+,78977,0,7,0,0,0,0,20,218,3.053,0,1,0.19,0,1,2,2,2,0,0.095,0,0,0,0,200695,121711,121708,0,3,99.998,0,0.002,0,121708,0,0,100,0,3,2.351,0,0,0,0,0,1,0.351119072,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.015,99.998,0,0.002,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHI(D),39,50,53,49,7,0.611,0.06,2,6,2.333,2.632,2,0.006,0,1,2,4,4,0.003,0.023,0.869,1.256,0,0,594,454,156,67,231,34.361,14.758,50.881,4,15,7,2.564,9.615,4.487,29,2.013,64.103,0,0,0,0,1,0.006410256,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.626,1.322,0.881,0,1.542,1.322,28.414,0,11.013,11.013,0,11.233,9.692,10.132,3.084,0.441,0,0.441,0,0,0.441,0,0.441,3.965,0,0,0,0
Test,EL,AL,19925,0,0,0,0,0,0,2,19924,19924,0,1,0,0,1,0,0,0,0,0,0,0,0,0,39849,19924,19924,0,0,100,0,0,0,19924,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SIN(D),22,0,45,26,5,6.936,0.186,3,5,3.5,0,1,0,0,1,0,0,0,0.009,0.097,0.825,1.182,0,0,349,257,52,0,205,20.233,0,79.767,0,16,1,0,30.769,1.923,7,2.096,90.909,0,0,0,0,3,0.025641026,25,0,0,0,75,0,0,0.347,0,15,0,0,0,0,0,100,0,0,0,0,0,0,33.333,0,6.226,8.56,0,2.724,3.113,0.389,13.619,0,17.51,17.51,0,0,10.117,8.56,0,0,0,0,0,1.946,0,0,0,0,9.728,0,0,0
Test,EL,ALE,2314,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4650,2335,2335,0,0,100,0,0,0,2335,0,0,100,0,3,3,0,0,0,0,0,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,EL,AL,3844,0,0,0,0,0,0.002,9,26,3.269,0.026,2,0,0,1,0,0,0,0,0.002,0,0,0,0,7665,3821,3821,0,0,100,0,0,0,3821,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,AL+,2067,1,1,0,0,0,0.01,11,24,2.907,0.145,4,0,0,1,0,0,0,0,0.01,0,0,0,0,12104,10036,2349,7686,1,23.406,76.584,0.01,0,2349,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.406,0,0,0,0.01,0,0,0,0,0,0,76.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,DL,SHI(D),39,50,53,49,7,0.611,0.06,2,6,2.333,2.632,2,0.006,0,1,2,4,4,0.003,0.023,0.869,1.256,0,0,594,454,156,67,231,34.361,14.758,50.881,4,15,7,2.564,9.615,4.487,29,2.013,64.103,0,0,0,0,1,0.006410256,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.626,1.322,0.881,0,1.542,1.322,28.414,0,11.013,11.013,0,11.233,9.692,10.132,3.084,0.441,0,0.441,0,0,0.441,0,0.441,3.965,0,0,0,0
Test,DL,ALHIN(D),90,0,3,87,9,0.046,0.026,2,32,6.25,0,1,0.667,0,1,2,1,1,0,0.231,0,0.967,0,0,2304,2125,2119,0,6,99.718,0,0.282,0,2119,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.718,0.047,0.047,0,0,0,0,0,0,0.047,0,0,0.094,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
